Video Title,Pos1,Time1,Pos2,Time2,Pos3,Time3,Pos1,Time1,Pos2,Time2,Pos3,Time3,,,,,,
JSJ-4,0,65.81,1,72.683,2,78.44,0,59.786,2,60.538,5,61.466,1.59599E-05,0.000294617,2.25707E-05,0.000416651,,
JSJ-4,0,63.602,1,77.261,2,83.138,0,59.543,2,60.322,7,62.332,1.21683E-05,0.000252748,1.72086E-05,0.000357439,,
JSJ-4,0,40.144,1,50.135,2,56.137,0,60.138,1,61.01,2,62.146,1.33351E-05,0.000101354,1.88586E-05,0.000143336,,
JSJ-4,0,28.206,1,39.945,2,47.178,0,17.811,1,18.466,2,19.406,1.11721E-05,0.000129527,1.57997E-05,0.000183179,,
JSJ-4,0,63.685,1,77.608,2,83.38,0,59.543,2,60.322,8,61.917,1.22537E-05,0.000316457,1.73293E-05,0.000447538,,
JSJ-4,0,68.735,1,77.924,2,88.851,0,60.394,2,61.402,4,62.398,1.00171E-05,0.000199608,1.41663E-05,0.000282288,,
JSJ-1,0,91.013,1,95.099,2,104.288,0,89.682,2,90.249,3,90.625,1.76782E-05,0.000309346,2.50007E-05,0.000437481,,
JSJ-1,0,97.253,1,108.688,2,116.902,0,89.049,3,89.879,5,90.625,1.04597E-05,0.000314771,1.47923E-05,0.000445154,,
JSJ-1,0,9.722,1,21.588,2,29.44,0,5.814,2,6.842,4,7.825,1.05815E-05,0.000199006,1.49645E-05,0.000281437,,
JSJ-1,0,13.305,1,23.116,2,34.67,0,5.571,1,6.181,4,7.985,9.42383E-06,0.000165116,1.33273E-05,0.000233509,,
JSJ-1,0,97.903,1,108.157,2,116.5,0,88.985,2,89.629,5,90.625,1.08692E-05,0.000305882,1.53714E-05,0.000432582,,
JSJ-1,0,11.335,1,17.365,2,26.004,0,7.421,2,7.803,6,8.665,1.40796E-05,0.000493799,1.99115E-05,0.000698337,,
JSJ-1,0,10.17,1,18.371,2,25.236,0,7.421,2,8.066,5,9.231,1.33801E-05,0.000283794,1.89224E-05,0.000401345,,
JSJ-1,0,11.681,1,15.827,2,26.152,0,7.421,2,8.001,5,8.9,1.69024E-05,0.000339266,2.39036E-05,0.000479794,,
jsj-1,0,40.493,1,49.976,2,60.23,0,7.105,2,8.066,4,9.018,1.01487E-05,0.0002091,1.43525E-05,0.000295712,,
JSJ-1,0,16.34,1,26.749,2,32.954,0,7.286,2,7.677,4,8.29,1.28616E-05,0.000418887,1.8189E-05,0.000592395,,
JSJ-1,0,9.892,1,13.766,4,30.617,0,5.766,1,6.41,4,8.17,2.18081E-05,0.000162867,3.08413E-05,0.000230329,,
JSJ-13,0,0.268,0.25,2.006,0.5,5.541,1.2,7.431,5,9.34,7,10.376,1.07282E-05,0.000196054,1.5172E-05,0.000277262,,
JSJ-13,0,19.661,0.5,25.269,1,28.27,0,6.817,3,8.997,5,10.376,5.53069E-06,0.000141324,1.80856E-05,0.000199862,,
JSJ-13,0,168.659,1,176.388,2,181.256,1,34.11,3,156.437,7,162.224,1.67403E-05,3.53777E-05,2.36744E-05,5.00316E-05,,
JSJ-13,0,77.842,0.5,81.667,1,86.182,0,75.226,2,76.594,3,77.19,1.2073E-05,0.000156992,1.70739E-05,0.00022202,,
JSJ-13 (+2 min),0,43.456,1,53.517,2,60.133,0,38.239,3,40.11,5,41.31,1.25271E-05,0.000163504,1.7716E-05,0.00023123,,
